"","year","evangelical","mainline","catholic","blackprot","jewish","otherfaith","nofaith","reltrad","partyid"
"461",1972,0,0,1,0,0,0,0,4,1
"462",1972,0,0,1,0,0,0,0,4,0
"463",1972,0,0,1,0,0,0,0,4,1
"464",1972,0,0,0,0,0,1,0,6,0
"465",1972,0,0,0,0,0,0,1,7,1
"466",1972,0,0,0,0,0,0,1,7,0
"467",1972,0,0,0,1,0,0,0,3,4
"468",1972,0,1,0,0,0,0,0,2,2
"469",1972,1,0,0,0,0,0,0,1,1
"470",1972,1,0,0,0,0,0,0,1,0
"471",1972,1,0,0,0,0,0,0,1,2
"472",1972,0,1,0,0,0,0,0,2,5
"473",1972,0,1,0,0,0,0,0,2,1
"474",1972,0,1,0,0,0,0,0,2,1
"475",1972,0,0,1,0,0,0,0,4,NA
"476",1972,0,1,0,0,0,0,0,2,1
"477",1972,0,1,0,0,0,0,0,2,NA
"478",1972,0,1,0,0,0,0,0,2,5
"479",1972,1,0,0,0,0,0,0,1,5
"480",1972,0,1,0,0,0,0,0,2,5
"481",1972,0,1,0,0,0,0,0,2,6
"482",1972,0,1,0,0,0,0,0,2,6
"483",1972,0,1,0,0,0,0,0,2,6
"484",1972,0,0,0,0,1,0,0,5,NA
"485",1972,0,0,1,0,0,0,0,4,4
"486",1972,0,0,1,0,0,0,0,4,5
"487",1972,0,0,1,0,0,0,0,4,2
"488",1972,1,0,0,0,0,0,0,1,3
"489",1972,1,0,0,0,0,0,0,1,3
"490",1972,1,0,0,0,0,0,0,1,6
"491",1972,0,1,0,0,0,0,0,2,2
"492",1972,1,0,0,0,0,0,0,1,3
"493",1972,1,0,0,0,0,0,0,1,1
"494",1972,0,1,0,0,0,0,0,2,5
"495",1972,0,0,1,0,0,0,0,4,1
"496",1972,0,1,0,0,0,0,0,2,1
"497",1972,0,1,0,0,0,0,0,2,1
"498",1972,0,0,1,0,0,0,0,4,0
"499",1972,1,0,0,0,0,0,0,1,5
"500",1972,1,0,0,0,0,0,0,1,0
"501",1972,0,1,0,0,0,0,0,2,0
"502",1972,0,1,0,0,0,0,0,2,1
"503",1972,0,1,0,0,0,0,0,2,5
"504",1972,0,0,1,0,0,0,0,4,0
"505",1972,0,1,0,0,0,0,0,2,2
"506",1972,0,1,0,0,0,0,0,2,4
"507",1972,0,1,0,0,0,0,0,2,5
"508",1972,0,0,1,0,0,0,0,4,1
"509",1972,0,0,1,0,0,0,0,4,1
"510",1972,0,1,0,0,0,0,0,2,1
"511",1972,0,1,0,0,0,0,0,2,1
"512",1972,0,1,0,0,0,0,0,2,NA
"513",1972,0,0,0,0,0,0,1,7,3
"514",1972,0,0,1,0,0,0,0,4,1
"515",1972,0,0,1,0,0,0,0,4,2
"516",1972,0,1,0,0,0,0,0,2,1
"517",1972,0,1,0,0,0,0,0,2,5
"518",1972,0,0,0,0,0,1,0,6,1
"519",1972,0,1,0,0,0,0,0,2,1
"520",1972,0,1,0,0,0,0,0,2,4
"521",1972,0,1,0,0,0,0,0,2,1
"522",1972,0,1,0,0,0,0,0,2,4
"523",1972,0,1,0,0,0,0,0,2,5
"524",1972,0,1,0,0,0,0,0,2,0
"525",1972,0,0,0,0,0,0,0,NaN,5
"526",1972,1,0,0,0,0,0,0,1,5
"527",1972,0,1,0,0,0,0,0,2,5
"528",1972,0,1,0,0,0,0,0,2,2
"529",1972,0,1,0,0,0,0,0,2,5
"530",1972,1,0,0,0,0,0,0,1,1
"531",1972,0,0,1,0,0,0,0,4,0
"532",1972,0,0,1,0,0,0,0,4,5
"533",1972,0,0,1,0,0,0,0,4,1
"534",1972,0,1,0,0,0,0,0,2,4
"535",1972,0,0,1,0,0,0,0,4,0
